m,s,r,g,level,thin,delta,se,n,slope,callup_first,demotion_first,same_day
k,2024,bat,IL,"s,r,g",False,0.04057935507136167,0.005358548061837688,115,0.6504688911983881,0.04126814343265523,0.03956213349636226,
k,2024,bat,PCL,"s,r,g",False,0.05763549867745283,0.006868452152628581,68,0.7828907632005185,0.06439644714823939,0.04611595477982026,
k,2025,bat,IL,"s,r,g",False,0.03189619832753423,0.005326519733341118,128,0.6271580888096236,0.029200050677443242,0.036966771325692475,
k,2025,bat,PCL,"s,r,g",False,0.07398369884378586,0.006589160655593587,69,1.0966370383993236,0.07532762142367311,0.07024940000828511,
bb,2023,bat,IL,"s,r,g",False,-0.04371516009824071,0.0031766823810163375,137,0.430599318130478,-0.04404887298806109,-0.04287406975232927,
bb,2023,bat,PCL,"s,r,g",False,-0.04105033510500407,0.004807323282959783,63,0.4217758172374871,-0.04361110945269557,-0.03532734829102022,
bb,2024,bat,IL,"s,r,g",False,-0.039555019316460535,0.003653541762561497,115,0.37118374552503064,-0.03986955472319974,-0.03909050478657582,
bb,2024,bat,PCL,"s,r,g",False,-0.04398643040999532,0.004036029482218892,68,0.37380192203438767,-0.05050192872869778,-0.03288509319058705,
bb,2025,bat,IL,"s,r,g",False,-0.03941386197111712,0.0029937961669469254,128,0.5253979117945341,-0.04057844593716832,-0.03722365995745966,
bb,2025,bat,PCL,"s,r,g",False,-0.0394290085248276,0.004470154649526465,69,0.41235028403023,-0.04085507263766257,-0.03546646660789983,
hr,2023,bat,IL,"s,r,g",False,-0.01403643820244836,0.002060686806341957,137,0.3000669833722051,-0.015069523252570044,-0.011432649470672141,
hr,2023,bat,PCL,"s,r,g",False,-0.015451205571884312,0.002587404445055927,63,0.27458954801526353,-0.015392778146508083,-0.015581783022140555,
hr,2024,bat,IL,"s,r,g",False,-0.014136576114387135,0.0016789161393452139,115,0.38149056685220595,-0.014520965514561167,-0.013568899287903332,
hr,2024,bat,PCL,"s,r,g",False,-0.014732773740115218,0.002350337501278379,68,0.47311805896298437,-0.01245670153207149,-0.01861082632815556,
hr,2025,bat,IL,"s,r,g",False,-0.010891244443107661,0.0018014566563729448,128,0.33169928647539937,-0.009373789673414765,-0.013745081168582085,
hr,2025,bat,PCL,"s,r,g",False,-0.011966520433292615,0.0024916247772624484,69,0.3350110893637345,-0.011943182292962491,-0.012031369102078896,
hr,2023,SP,IL,"s,r,g",False,0.005894379172006902,0.0026377902260929687,62,0.09697469678148607,0.007836190882969534,0.0017083113536348815,
hr,2023,SP,PCL,"s,r,g",False,0.010826993166123082,0.002603853753823293,20,0.3164982922302419,0.011123030949722073,0.009810438900458004,
hr,2024,SP,IL,"s,r,g",False,0.009017324652615408,0.0021297575263517403,56,0.34808959639089276,0.008713020161758409,0.01013049176775287,
